text,crime
"He hacked my Instagram account and changed the password",hacking
"He asked for OTP pretending to be a bank officer",phishing
"He abuses me and sends vulgar messages",harassment
"He created a fake profile using my photos",impersonation
"He threatened me to pay ₹5000 or he will leak my pics",extortion
"He keeps messaging me repeatedly even after blocking",stalking
"He stole my debit card details and withdrew money",fraud
"He is asking me money else he will defame me online",extortion
"Someone logged into my Gmail without permission",hacking
"I received fake lottery message asking payment",phishing
"He calls me bad names online",harassment
"He posted morphed pictures of me",impersonation
"Someone is checking my location constantly",stalking
"He tricked me into sharing UPI PIN",fraud
"He is sending threats to kill me",harassment
"Someone opened fake WhatsApp account in my name",impersonation
"He demands money to remove pictures",extortion
"Fake SMS from bank to update KYC",phishing
"He is following me everywhere on social media",stalking
"He accessed my PayTM without consent",hacking
"He hacked my Facebook account and changed the recovery email",hacking
"Unknown person logged into my Telegram without permission",hacking
"My Netflix account was accessed and password changed",hacking
"He installed malware and gained access to my laptop",hacking
"Someone hacked my Gmail and read all my emails",hacking
"Unauthorized login detected on my Instagram",hacking
"He took control of my game account and stole items",hacking
"Remote access tool was installed on my phone",hacking
"Someone broke into my bank app using my credentials",hacking
"He hacked my Twitter and posted abusive tweets",hacking
"I got a fake email claiming to be from my bank asking OTP",phishing
"I received a message saying my KYC is incomplete and asked to click a link",phishing
"Fake Paytm SMS requesting personal details",phishing
"Won a lottery SMS demanding deposit to claim prize",phishing
"Email pretending to be Amazon delivery asking payment",phishing
"Fake HR mail asking resume and bank details",phishing
"OTP asked for refund processing from fake customer care",phishing
"Link sent for updating Aadhaar details",phishing
"Received investment scheme link guaranteeing returns",phishing
"Message told me my card will be blocked if I don't verify",phishing
"He threatened to leak my photos unless I pay him",extortion
"He demanded ₹5000 to delete my private videos",extortion
"He is blackmailing me with my chats",extortion
"Threatened to harm me unless I send money",extortion
"He took personal pictures and is asking money",extortion
"He said he will ruin my reputation if I don't pay",extortion
"He demanded money to return my hacked account",extortion
"Threatened to share screenshots unless paid",extortion
"He is asking money to delete the pictures he has",extortion
"He wants ₹10000 or he'll upload my videos online",extortion
"He sends abusive messages daily",harassment
"He calls me names online and humiliates me",harassment
"He posted vulgar comments on my profile",harassment
"He is abusing me in group chats",harassment
"He sends obscene memes repeatedly",harassment
"He insults me publicly on social media",harassment
"He is mocking my disability online",harassment
"He keeps body shaming me in messages",harassment
"He is spreading rumours about me",harassment
"He uses abusive and sexual language in chats",harassment
"He created a fake profile with my photos",impersonation
"Someone used my name to talk to my friends",impersonation
"He opened WhatsApp account pretending to be me",impersonation
"Fake Instagram account created using my identity",impersonation
"He used my number to scam others",impersonation
"He pretends to be me and messages my relatives",impersonation
"He is posing as me and asking for money",impersonation
"Someone cloned my SIM card and used my identity",impersonation
"He made a fake Facebook account using my pictures",impersonation
"He spreads false information pretending to be me",impersonation
"He keeps messaging me even after blocking him",stalking
"He tracks my online activity and location",stalking
"He monitors my Instagram stories daily",stalking
"He follows me on every platform and messages nonstop",stalking
"He appears wherever I check in online",stalking
"He comments on everything I post",stalking
"He sends unwanted romantic messages repeatedly",stalking
"He keeps asking personal questions even after warning",stalking
"He tries to meet me physically after tracking my location",stalking
"He waits for me to come online and messages instantly",stalking
"He tricked me into sharing my debit card details",fraud
"He withdrew money from my account after taking OTP",fraud
"Fake loan app stole my bank details",fraud
"He cheated me by taking advance payment for product",fraud
"Scammed me using fake UPI request",fraud
"He sold me a fake phone online",fraud
"He took money for booking tickets but never booked",fraud
"He promised job in exchange of money and disappeared",fraud
"He sold fake crypto tokens and ran away",fraud
"Fraudulent transaction occurred from my UPI ID",fraud
